#This is the definitional data from Wikipedia for *training* Nonce2Vec.
#Each line consists of a word, followed by its definition. Slots (___)
#indicate where the word appears in the sentence.
#The data had been tokenised, with punctuation removed.

pride	___ is an inwardly directed emotion that carries two common meanings 
twinkling	___ or scintillation is a generic term for variations in apparent brightness or position of a distant luminous object viewed through a medium 
coda	___ can denote any concluding event summation or section 
somerset	___ or is a county in south west england which borders gloucestershire to the north wiltshire to the east dorset to the south east and devon to the south west 
frankfurt	___ am main is the largest city in the german state of hesse and the fifth largest city in germany with a population of 701350 2013 within its administrative boundaries 
zinc	___ in commerce also spelter is a chemical element with symbol zn and atomic number 30 
gravel	___ is composed of unconsolidated rock fragments that have a general particle size range and include size classes from granule to boulder sized fragments 
thurrock	___ is a unitary authority area with borough status in the english ceremonial county of essex 
looting	___ also referred to as sacking plundering despoiling despoliation and pillaging is the indiscriminate taking of goods by force as part of a military or political victory or during a catastrophe such as war natural disaster or rioting 
batley	___ is a town in the metropolitan borough of kirklees west yorkshire england 
popcorn	___ also known as popping corn is a type of corn maize zea mays var everta that expands from the kernel and puffs up when heated 
dust	___ consists of particles in the atmosphere that come from various sources such as soil ___ lifted by weather an aeolian process volcanic eruptions and pollution 
asparagus	___ or garden ___ scientific name ___ officinalis is a spring vegetable a flowering perennial plant species in the genus ___ 
ericsson	___ telefonaktiebolaget l m ___ is a swedish multinational provider of communications technology and services 
elegance	 ___ is a synonym for beauty that has come to acquire the additional connotations of unusual effectiveness and simplicity 
cbs	___ corporate name ___ broadcasting inc is an american commercial broadcast television network which started as a radio network it continues to operate a radio network and a portfolio of television and radio stations in large and mid sized markets 
stephenson	___ is a medieval patronymic surname meaning son of stephen 
stromness	___ is the second most populated town in orkney scotland 
nature	 ___ in the broadest sense is equivalent to the natural physical or material world or universe 
athlon	___ is the brand name applied to a series of x86compatible microprocessors designed and manufactured by advanced micro devices amd 
peregrine	___ latin peregrinus is a name originally meaning one from abroad that is a foreigner traveller or pilgrim 
proquest	___ llc is an ann arbor michigan based global information content and technology company founded in 1938 as university microfilms 
missouri	___ see pronunciations is a state located in the midwestern united states 
burma	___ officially the republic of the union of myanmar commonly shortened to myanmar or is a sovereign state in southeast asia bordered by bangladesh india china laos and thailand 
ketchup	___ or or catsup is a table sauce 
caernarfon	___ is a royal town community and port in gwynedd wales with a population of 9615 this figure does not include nearby bontnewydd or caeathro as they are in separate communities 
finance	___ is a field that deals with the allocation of assets and liabilities over time under conditions of certainty and uncertainty 
extradition	___ is the official process whereby one country transfers a suspected or convicted criminal to another country 
ethanol	___ also commonly called alcohol spirits ethyl alcohol and drinking alcohol is the principal type of alcohol found in alcoholic beverages produced by the fermentation of sugars by yeasts 
cleveland	___ is a city in the state of ohio and is the county seat of cuyahoga county the most populous county in the state 
flanders	___ dutch vlaanderen french flandre today normally refers to the dutch speaking northern portion of belgium 
perfume	___ or parfum is a mixture of fragrant essential oils or aroma compounds fixatives and solvents used to give the human body animals food objects and living spaces a pleasant scent 
art	___ is a diverse range of human activities and the products of those activities usually involving imaginative or technical skill 
tungsten	 ___ also known as wolfram is a chemical element with symbol w and atomic number 74 
spectroscopy	 ___ is the study of the interaction between matter and radiated energy 
texaco	___ the texas company is the name of an american oil retail brand 
aspirin	___ ban usan also known as acetylsalicylic acid asa is a salicylate drug often used as an analgesic to relieve minor aches and pains as an antipyretic to reduce fever and as an anti inflammatory medication 
nemo	___ is a latin word meaning no man or no one 
peckham	___ is a district in south east london within the london borough of southwark 
consumerism	___ is a social and economic order and ideology that encourages the acquisition of goods and services in ever greater amounts 
merseyside	___ is a metropolitan county in north west england with a population of 138 million 
dissipation	___ is the result of an irreversible process that takes place in inhomogeneous thermodynamic systems 
fresco	___ plural ___ or ___ is a technique of mural painting executed upon freshly laid or wet lime plaster 
filtration	___ is commonly the mechanical or physical operation which is used for the separation of solids from fluids liquids or gases by interposing a medium through which only the fluid can pass 
health	___ is the level of functional or metabolic efficiency of a living organism 
paddington	___ is an area within the city of westminster in central london 
hogmanay	___ scots scottish english is the scots word for the last day of the year and is synonymous with the celebration of the new year gregorian calendar in the scottish manner 
poaching	___ has traditionally been defined as the illegal hunting killing or capturing of wild animals usually associated with land use rights 
prefect	___ from the latin praefectus perfect passive participle of praeficere make in front ie put in charge is a magisterial title of varying definition but which basically refers to the leader of an administrative area 
light	___ usually refers to visible ___ which is electromagnetic radiation that is visible to the human eye and is responsible for the sense of sight 
colonel	___ abbreviated col col or col is a senior military officer rank below the general officer ranks 
modesty	___ is a mode of dress and deportment intended to avoid encouraging sexual attraction in others actual standards vary widely 
weber	___ or german is a surname of german origin derived from the noun meaning weaver 
optometry	___ is a healthcare profession concerned with the eyes and related structures as well as vision visual systems and vision information processing in humans 
politeness	___ is the practical application of good manners or etiquette 
parenting	___ or child rearing is the process of promoting and supporting the physical emotional social financial and intellectual development of a child from infancy to adulthood 
pink	___ is a pale red color which takes its name from the flower of the same name 
romford	___ is a large urban area in northeast london united kingdom and the administrative headquarters of the london borough of havering 
northamptonshire	___ or abbreviated northants is a county in the east midlands of england 
tobacco	___ is a plant within the genus nicotiana of the solanaceae nightshade family 
hereford	___ is a cathedral city civil parish and county town of ___ england 
pimlico	___ is a small area of central london in the city of westminster 
haggis	___ is a savoury pudding containing sheep s pluck heart liver and lungs minced with onion oatmeal suet spices and salt mixed with stock traditionally encased in the animal s stomach and nowadays often in an artificial casing 
lima	 ___ is the capital and the largest city of peru 
radiography	___ is an imaging technique that uses electromagnetic radiation other than visible light especially x rays to view the internal structure of a non uniformly composed and opaque object ie a non transparent object of varying density and composition such as the human body 
triple	___ a doublet of treble or threefold from latin triplus ___ cf double from duplus is used in several contexts teletubbies teletubbies is a british bbc children s television series targeted at pre school viewers and produced from 31 march 1997 to 16 february 2001 by ragdoll productions 
bideford	___ is a historic port town on the estuary of the river torridge in north devon south west england 
nigeria	___ officially the federal republic of ___ is a federal constitutional republic comprising 36 states and its federal capital territory abuja 
insulin	 ___ from the latin insula meaning island is a peptide hormone produced by beta cells in the pancreas 
tallow	___ is a rendered form of beef or mutton fat processed from suet 
scratching	___ sometimes referred to as scrubbing is a dj and turntablist technique used to produce distinctive sounds by moving a vinyl record back and forth on a turntable while optionally manipulating the crossfader on a dj mixer 
postgresql	___ often simply postgres is an object relational database management system ordbms with an emphasis on extensibility and standards compliance 
republicanism	___ is the ideology of governing a society or state as a republic la res publica where the head of state is a representative of the people who hold popular sovereignty rather than the people being subjects of the head of state 
harlequin	___ italian arlecchino french arlequin is the most well known of the zanni or comic servant characters from the italian commedia dellarte 
traffic	___ on roads may consist of pedestrians ridden or herded animals vehicles streetcars buses and other conveyances either singly or together while using the public way for purposes of travel 
wakefield	___ is a city and the main settlement and administrative centre of the city of ___ a metropolitan district of west yorkshire england 
appetite	___ is the desire to eat food felt as hunger 
cheltenham	___ also known as ___ spa is a large spa town and borough in gloucestershire england located on the edge of the cotswolds 
atlanta	 ___ locally is the capital of and the most populous city in the us state of georgia with an estimated 2013 population of 447841 
vi	___ is a screen oriented text editor originally created for the unix operating system 
east	___ is a noun adjective or adverb indicating direction or geography 
vortigern	___ welsh gwrtheyrn old english wyrtgeorn breton guorthigern irish foirtchern also spelled vortiger and vortigen was a 5th century warlord in britain a leading ruler among the britons 
judgement	 ___ or judgment is the evaluation of evidence to make a decision 
stratigraphy	___ is a branch of geology which studies rock layers strata and layering stratification 
capacitance	___ is the ability of a body to store an electrical charge 
castleford	___ is the largest of the five towns in the metropolitan borough of the city of wakefield in west yorkshire england near the m62 motorway 
chlorophyll	___ also chlorophyl is a term used for several closely related green pigments found in cyanobacteria and the chloroplasts of algae and plants 
suede	___ is a type of leather with a napped finish commonly used for jackets shoes shirts purses furniture and other items 
ulysses	___ is derived from ulixes the latin name for odysseus a character in ancient greek literature 
mclaren	___ racing limited trading as ___ honda is a british formula one team based at the ___ technology centre woking surrey england 
deforestation	___ clearance or clearing is the removal of a forest or stand of trees where the land is thereafter converted to a non forest use 
botswana	___ officially the republic of ___ tswana lefatshe la ___ is a landlocked country located in southern africa 
limerick	___ or irish luimneach is a city in ireland 
islington	___ is a district in greater london england and part of the london borough of ___ 
surrey	___ is a british county in the south east of england and one of the home counties 
forgetting	___ retention loss refers to apparent loss or modification of information already encoded and stored in an individual s long term memory 
breakfast	___ is the first meal taken after rising from a night s sleep most often eaten in the early morning before undertaking the day s work 
scrapie	___ is a fatal degenerative disease that affects the nervous systems of sheep and goats 
southwark	___ is a district of central london and part of the london borough of ___ 
karst	___ topography is a landscape formed from the dissolution of soluble rocks such as limestone dolomite and gypsum 
battersea	___ is a largely residential inner city district of south london in the london borough of wandsworth england 
premier	___ is a title for the head of government in some countries states and sub national governments 
bullshit	___ also bullcrap is a common english expletive which may be shortened to the euphemism bull or the initialism bs
cream	___ is a dairy product that is composed of the higher butterfat layer skimmed from the top of milk before homogenization 
stepney	___ is a district of the london borough of tower hamlets in london s east end that grew out of a medieval village around st dunstan s church and the 15th century ribbon development of mile end road 
guildford	___ is the county town of surrey england and the seat of the borough of ___ 
hove	___ is a town on the south coast of england immediately to the west of its larger neighbour brighton with which it forms the unitary authority brighton and ___ 
granada	___ is a city and the capital of the province of ___ in the autonomous community of andalusia spain 
oscillation	___ is the repetitive variation typically in time of some measure about a central value often a point of equilibrium or between two or more different states 
lumber	___ american english or timber british english hiberno english new zealand english and australian english is wood that has been processed into beams and planks a stage in the process of wood production 
evangelicalism	___ or evangelical protestantism is a worldwide transdenominational movement within protestantism maintaining that the essence of the gospel consists in the doctrine of salvation by grace through faith in jesus christ s atonement 
totnes	 ___ or is a market town and civil parish at the head of the estuary of the river dart in devon england within the south devon area of outstanding natural beauty 
kenya	___ or officially the republic of ___ is a country in africa 
scouting	___ or the scout movement is a movement that aims to support older people in their physical mental and spiritual development that they may play constructive roles in society with a strong focus on the outdoors and survival skills 
silt	___ is granular material of a size somewhere between sand and clay whose mineral origin is quartz and feldspar 
rockabilly	___ is one of the earliest styles of rock and roll music dating to the early 1950s in the united states especially the south 
hysteria	___ in its colloquial use describes unmanageable emotional excesses 
plains	___ is the plural of plain a geographical feature that is flat or gently rolling 
fax	___ short for facsimile sometimes called telecopying or tele___ is the telephonic transmission of scanned printed material both text and images normally to a telephone number connected to a printer or other output device 
utilitarianism	___ is a theory in normative ethics holding that the moral action is the one that maximizes utility 
television	___ tv is a telecommunication medium that is used for transmitting and receiving moving images and sound 
perjury	___ also known as forswearing is the intentional act of swearing a false oath or of falsifying an affirmation to tell the truth whether spoken or in writing concerning matters material to an official proceeding 
clothing	___ is fiber and textile material worn on the body 
atari	___ from a japanese verb meaning to hit the target is a corporate and brand name owned by several entities since its inception in 1972 currently by ___ interactive a subsidiary of the french publisher ___ sa asa 
anatomy	___ is the branch of biology concerned with the study of the structure of organisms and their parts it is mainly divided into zootomy and phytotomy 
sorting	___ is any process of arranging items according to a certain sequence or in different sets and therefore it has two common yet distinct meanings ___ information or data 
northumberland	___ pronounced is a county in north east england 
being	___ is an extremely broad concept encompassing objective and subjective features of reality and existence 
haiku	___ haikai verse plural same or ___ is a very short form of japanese poetry 
cyrus	___ is an english transliteration of the persian name kourosh 
stride	___ can stand for a period of locomotion defined by the complete cycle of a reference limb see gait 
cumin	 ___ or sometimes spelled cummin ___ cyminum also known as zeera is a flowering plant in the family apiaceae native from the east mediterranean to india 
glycogen	___ is a multibranched polysaccharide of glucose that serves as a form of energy storage in animals and fungi 
time	___ is a measure in which events can be ordered from the past through the present into the future and also the measure of durations of events and the intervals between them 
finchley	___ is an area of north london england in the london borough of barnet 
sirius	___ is the brightest star in fact a star system in the earth s night sky 
forgery	___ is the process of making adapting or imitating objects statistics or documents with the intent to deceive or earn profit by selling the forged item 
zenith	___ refers to an imaginary point directly above a particular location on the imaginary celestial sphere above means in the vertical direction opposite to the apparent gravitational force at that location 
surrealism	___ is a cultural movement that began in the early 1920s and is best known for its visual artworks and writings 
koi	___ or more specifically nishikigoi literally brocaded carp are a group of fish that are ornamental varieties of domesticated common carp cyprinus carpio that are kept for decorative purposes in outdoor ___ ponds or water gardens 
comics	___ is a medium used to express ideas via images often combined with text or other visual information 
huntingdonshire	___ or abbreviated hunts is a non metropolitan district of cambridgeshire as well as a historic county of england 
bahia	___ is one of the 26 states of brazil and is located in the eastern part of the country on the atlantic coast 
pleasure	___ describes the broad class of mental states that humans and other animals experience as positive enjoyable or worth seeking 
behavior	___ or behaviour see spelling differences is the range of actions and mannerisms made by individuals organisms systems or artificial entities in conjunction with themselves or their environment which includes the other systems or organisms around as well as the inanimate physical environment 
wellington	___ is the capital city and second most populous urban area of new zealand with 393600 residents 
webmail	___ or web based email is any email client implemented as a web application running on a web server 
bronze	___ is an alloy consisting primarily of copper and other metals 
cheerleading	___ ranges from yelling to intense physical activity for sports team motivation audience entertainment or competition based upon organized routines 
surveying	___ or land ___ is the technique profession and science of accurately determining the terrestrial or three dimensional position of points and the distances and angles between them commonly practiced by surveyors and members of various engineering professions 
folklore	___ or lore consists of legends music oral history proverbs jokes popular beliefs fairy tales stories tall tales and customs included in the traditions of a culture subculture or group 
xenophobia	___ is the unreasoned fear of that which is perceived to be foreign or strange 
brisbane	___ is the capital and most populous city in the australian state of queensland and the third most populous city in australia 
aldeburgh	___ is a coastal town in the english county of suffolk 
vanity	___ is the excessive belief in one s own abilities or attractiveness to others 
msn	___ originally the microsoft network stylized as ___ is a collection of internet websites and services provided by microsoft 
stewardship	___ is an ethic that embodies the responsible planning and management of resources 
dakar	___ is the capital and largest city of senegal 
normandy	___ french normandie pronounced norman nourmaundie from old french normanz plural of normant originally from the word for northman in several scandinavian languages is a geographical region of france corresponding to the former duchy of ___ 
itn	___ independent television news is a british based news and content provider 
leprosy	___ also known as hansen s disease hd is a chronic infection caused by the bacteria 
walkman	___ is a sony brand tradename originally used for portable audio cassette players and now used to market sony s portable audio and video players as well as a line of former sony ericsson mobile phones 
adsorption	___ is the adhesion of atoms ions or molecules from a gas liquid or dissolved solid to a surface 
spice	___ simulation program with integrated circuit emphasis is a general purpose open source analog electronic circuit simulator 
dose	___ means quantity in the fields of nutrition medicine and toxicology 
vertigo	___ is the sensation of spinning or having the room spin about you 
intercity	___ or inter city means between cities 
emotion	___ one s state of mind and instinctive responses is often intertwined with mood temperament personality disposition and motivation 
spyware	___ is software that aids in gathering information about a person or organization without their knowledge and that may send such information to another entity without the consumer s consent or that asserts control over a computer without the consumer s knowledge ___ is mostly classified into four types system monitors trojans adware and tracking cookies 
wool	___ is the textile fiber obtained from sheep and certain other animals including cashmere from goats mohair from goats qiviut from muskoxen angora from rabbits and other types of ___ from camelids 
colonization	___ or colonisation occurs whenever there is a large scale migration of any one or more groups of people to a colonial area 
commonwealth	___ is a traditional english term for a political community founded for the common good 
wisbech	___ is a market town inland port and civil parish with a population of 31573 in the fens of cambridgeshire england 
psychosis	 ___ refers to an abnormal condition of the mind and is a generic psychiatric term for a mental state often described as involving a loss of contact with reality 
chelmsford	___ is the principal settlement of the city of ___ and the county town of essex in the east of england 
carp	___ are various species of oily freshwater fish of the family cyprinidae a very large group of fish native to europe and asia 
corporal	___ is a military rank in use in some form by most militaries and by some police forces or other uniformed organizations 
philology	___ is the study of language in written historical sources it is a combination of literary criticism history and linguistics 
norfolk	___ is a low lying county in the east of england 
heartburn	___ also known as pyrosis cardialgia or acid indigestion is a burning sensation in the chest just behind the breastbone or in the epigastrium the upper central abdomen 
quorn	___ is a major meat substitute product within the uk and ireland 
hue	 ___ is one of the main properties of a color defined technically in the ciecam02 model as the degree to which a stimulus can be described as similar to or different from stimuli that are described as red green blue and yellow the unique ___ 
aviation	___ is the practical aspect or art of aeronautics being the design development production operation and use of aircraft especially heavier thanair aircraft 
prejudice	___ is prejudgment or forming an opinion before becoming aware of the relevant facts of a case 
florence	___ italian firenze alternative obsolete form fiorenza latin florentia is the capital city of the italian region of tuscany and of the province of ___ 
penicillin	___ sometimes abbreviated pcn or pen is a group of antibiotics derived from penicillium fungi including ___ g intravenous use ___ v oral use procaine ___ and benzathine ___ intramuscular use 
holyhead	___ welsh caergybi cybi s fort is the largest town in the county of anglesey in wales 
marshalls	___ inc is a chain of american off price department stores owned by tjx companies 
thx	___ limited ___ ltd is a high fidelity audiovisual reproduction standard for movie theaters screening rooms home theaters computer speakers gaming consoles and car audio systems 
dessert	___ is a typically sweet course that concludes an evening meal 
indonesia	___ or officially the republic of ___ ___ republik ___ is a sovereign state in southeast asia and oceania 
nortel	___ networks corporation formerly known as northern telecom limited and sometimes known simply as ___ was a multinational telecommunications and data networking equipment manufacturer headquartered in mississauga ontario canada 
flamenco	___ is a form of spanish folk music and dance from the region of andalusia in southern spain 
cholera	___ is an infection of the small intestine caused by the bacterium vibrio ___ 
mining	___ is the extraction of valuable minerals or other geological materials from the earth from an orebody lode vein seam or reef which forms the mineralized package of economic interest to the miner 
barbecue	___ also barbeque bbq and barbybarbies is a cooking method and apparatus 
vaio	___ corporation standing for visual audio intelligent organizer is a manufacturer of personal computers 
margarine	___ or is an imitation butter spread used for spreading baking and cooking 
banbury	___ is a market town and civil parish on the river cherwell in the cherwell district of oxfordshire 
faith	___ is defined as confidence or trust in a being object living organism deity view or in the doctrines or teachings of a religion 
xxxx	___ pronounced fourex is a brand of australian beer brewed in milton brisbane by queensland brewers castlemaine perkins now a division of the japanese owned company lion nathan 
cannabis	___ is a genus of flowering plants that includes three different species ___ sativa ___ indica and ___ ruderalis 
discourse	 ___ from discursus meaning running to and from denotes written and spoken communications such as 
snow	___ is precipitation in the form of flakes of crystalline water ice that falls from clouds 
dollar	___ often represented by the peso and ___ sign is the name of several currencies including those of australia belize brunei canada hong kong namibia new zealand singapore suriname taiwan the united states and previously zimbabwe 
tanzania	___ officially the united republic of ___ swahili jamhuri ya muungano wa ___ is a country in east africa within the african great lakes region 
gynaecology	___ or gynecology is the medical practice dealing with the health of the female reproductive systems vagina uterus and ovaries and the breasts 
heraldry	___ is the profession study or art of creating granting and blazoning arms and ruling on questions of rank or protocol as exercised by an officer of arms ___ comes from anglo norman herald from the germanic compound harja waldaz army commander 
rye	___ secale cereale is a grass grown extensively as a grain a cover crop and as a forage crop 
eindhoven	___ is a municipality and a city located in the province of north brabant in the south of the netherlands originally at the confluence of the dommel and gender streams 
dada	___ or ___ was an art movement of the european avant garde in the early 20th century 
mumbai	___ also known as bombay is the capital city of the indian state of maharashtra 
airport	___ is the name given to a series of products by apple inc using the wi fi protocols 80211b 80211g 80211n and 80211ac 
dunkirk	___ french dunkerque dutch duinkerken is a commune in the nord department in northern france 
medicine	___ uk english us english is the science or practice of the diagnosis treatment and prevention of disease 
jewellery	___ or jewelry is small decorative items worn for personal adornment such as brooches rings necklaces earrings and bracelets 
vast	___ is an american alternative rock band based in seattle washington 
wisconsin	___ is a us state located in the north central united states in the midwest and great lakes regions 
pudding	___ is usually a dessert but it can also be a savory dish 
artemis	___ was one of the most widely venerated of the ancient greek deities 
barrie	___ is a city in central ontario canada on the western shore of lake simcoe 
peacekeeping	___ refers to activities that tend to create conditions that favor lasting peace 
diffraction	___ refers to various phenomena which occur when a wave encounters an obstacle or a slit 
secularism	___ is the principle of the separation of government institutions and persons mandated to represent the state from religious institutions and religious dignitaries 
leadership	___ has been described as a process of social influence in which a person can enlist the aid and support of others in the accomplishment of a common task 
worcestershire	___ or abbreviated worcs or in some older sources wigorn is a non metropolitan county in the west midlands region of england 
poliomyelitis	___ often called polio or infantile paralysis is an infectious disease caused by the poliovirus 
shellfish	___ is a culinary and fisheries term for exoskeleton bearing aquatic invertebrates used as food including various species of molluscs crustaceans and echinoderms 
blackadder	___ is the name that encompasses four series of a bbc 1 period british sitcom along with several one off instalments 
alaska	___ is a us state situated in the northwest extremity of the north american continent 
cinnamon	___ is a spice obtained from the inner bark of several trees from the genus cinnamomum that is used in both sweet and savoury foods 
rca	___ corporation founded as the radio corporation of america was an american electronics company in existence from 1919 to 1986 when general electric took over the company in 1985 and split it up the following year 
ecotourism	___ is a form of tourism involving visiting fragile pristine and relatively undisturbed natural areas intended as a low impact and often small scale alternative to standard commercial mass tourism 
categorization	___ is the process in which ideas and objects are recognized differentiated and understood 
acetate	___ is a negative ion or anion typically found in aqueous solution 
putney	 ___ is a district in south west london england in the london borough of wandsworth 
jupiter	___ is the fifth planet from the sun and the largest planet in the solar system 
insomnia	___ or sleeplessness is a sleep disorder in which there is an inability to fall asleep or to stay asleep as long as desired 
charmed	___ is an american television series created by constance m burge and produced by aaron spelling and his production company spelling television with brad kern serving as showrunner 
matlab	___ matrix laboratory is a multi paradigm numerical computing environment and fourth generation programming language 
uxbridge	___ is a town in west london england and the administrative headquarters of the london borough of hillingdon 
hollywood	___ is a district in the central region of los angeles california in the united states 
scalability	___ is the ability of a system network or process to handle a growing amount of work in a capable manner or its ability to be enlarged to accommodate that growth 
midlothian	___ scots midlowden scottish gaelic meadhan lodainn is one of the 32 council areas of scotland 
kenton	___ is an area in northwest london england partly in the london borough of harrow and partly in the london borough of brent 
astrology	___ consists of several pseudoscientific systems of divination based on the premise that there is a relationship between astronomical phenomena and events in the human world 
deception	___ beguilement deceit bluff mystification and subterfuge are acts to propagate beliefs of things that are not true or not the whole truth as in half truths or omission 
ceredigion	___ is a county in mid wales 
railtrack	___ was a group of companies that owned the track signalling tunnels bridges level crossings and all but a handful of the stations of the british railway system from 1994 until 2002 
highgate	___ or is a suburban area of north london at the north eastern corner of hampstead heath 45 mi north north west of charing cross 
curry	___ plural curries is a dish whose origins are in south and southeast asian cuisines 
plankton	___ singular plankter are a diverse group of organisms that live in the water column and can not swim against a current 
kentucky	___ officially the commonwealth of ___ is a state located in the east south central region of the united states 
frodsham	___ is a market town and civil parish in the unitary authority of cheshire west and chester and the ceremonial county of cheshire england 
divorce	 ___ or the dissolution of marriage is the termination of a marital union the canceling andor reorganizing of the legal duties and responsibilities of marriage thus dissolving the bonds of matrimony between a married couple under the rule of law of the particular country andor state 
paintball	___ is a sport in which players compete in teams or individually to eliminate opponents by tagging them with capsules containing water soluble dye and featuring a gelatin outer shell referred to as ___ propelled from a device called a ___ marker commonly referred to as a ___ gun 
chester	___ is a city in cheshire england 
spirituality	___ is a process of personal transformation either in accordance with traditional religious ideals or increasingly oriented on subjective experience and psychological growth independently of any specific religious context 
automation	___ or automatic control is the use of various control systems for operating equipment such as machinery processes in factories boilers and heat treating ovens switching in telephone networks steering and stabilization of ships aircraft and other applications with minimal or reduced human intervention 
whitehall	___ is a road in the city of westminster in central london which forms the first part of the a3212 road from trafalgar square to chelsea 
acupuncture	___ from latin acus needle punctura to puncture is the stimulation of specific ___ points along the skin of the body using thin needles 
quito	___ formally san francisco de ___ is the capital city of ecuador and at an elevation of 9350 feet 2800 meters above sea level it is the highest official capital city in the world 
logistics	___ is the management of the flow of goods between the point of origin and the point of consumption in order to meet some requirements of customers or corporations 
dieting	___ is the practice of eating food in a regulated and supervised fashion to decrease maintain or increase body weight 
mons	___ dutch bergen mountains picard mont is a belgian city and municipality and the capital of the province of hainaut 
ontario	 ___ is one of the ten provinces of canada located in east central canada 
economics	___ is the social science that studies economic activity to gain an understanding of the processes that govern the production distribution and consumption of goods and services in an economy 
glass	___ is an amorphous non crystalline solid material which is often transparent and has widespread practical technological and decorative usage in things like window panes tableware and optoelectronics 
huddersfield	___ is a large market town and is the largest settlement in the metropolitan borough of kirklees west yorkshire england 
fandom	___ consisting of fan fanatic plus the suffix dom as in kingdom is a term used to refer to a subculture composed of fans characterized by a feeling of empathy and camaraderie with others who share a common interest 
perthshire	___ officially the county of perth scottish gaelic siorrachd pheairt is a registration county in central scotland 
whitby	___ is a seaside town port and civil parish in the borough of scarborough and english county of north yorkshire 
grilling	___ is a form of cooking that involves dry heat applied to the surface of food commonly from above or below as in north america 
central	___ is an adjective usually referring to being in the center 
irix	___ is the operating system developed by silicon graphics inc sgi to run natively on their mips workstations and servers 
borland	___ software corporation is a software company that facilitates software deployment projects 
damnation	___ from latin damnatio is the concept of divine punishment and torment in an afterlife for actions committed on earth 
space	___ is the boundless three dimensional extent in which objects and events have relative position and direction 
santiago	___ also ___ de chile is the capital and largest city of chile 
radiohead	___ are an english rock band from abingdon oxfordshire formed in 1985 
chromium	___ is a chemical element with symbol cr and atomic number 24 
serotonin	___ or 5hydroxytryptamine 5ht is a monoamine neurotransmitter 
biosecurity	___ has multiple meanings and is defined differently according to various disciplines 
cardiff	___ welsh is the capital and largest city in wales and the tenth largest city in the united kingdom 
divination	___ from latin divinare to foresee to be inspired by a god related to divinus divine is the attempt to gain insight into a question or situation by way of an occultic standardized process or ritual 
snooker	___ or is a cue sport that is typically played on a table covered with a green cloth or baize with pockets at each of the four corners and in the middle of each of the long side cushions 
midi	___ short for musical instrument digital interface is a technical standard that describes a protocol digital interface and connectors and allows a wide variety of electronic musical instruments computers and other related devices to connect and communicate with one another 
corrosion	___ is the gradual destruction of materials usually metals by chemical reaction with their environment 
arabidopsis	___ rockcress is a genus in the family brassicaceae 
internment	___ is the imprisonment or confinement of people commonly in large groups without trial 
uttoxeter	___ or sometimes locally is a market town in staffordshire england 
sadness	___ is emotional pain associated with or characterized by feelings of disadvantage loss despair helplessness and sorrow 
grouse	 ___ are a group of birds from the order galliformes in the family phasianidae 
bilbao	 ___ basque bilbo is one of the 25 boroughs in the greater ___ comarca in northern spain 
pepsi	___ stylized in lowercase as ___ formerly stylized in uppercase as ___ is a carbonated soft drink that is produced and manufactured by ___ 
kirkcudbright	___ scottish gaelic cille chuithbeirt is a town and parish in ___ of which it is traditionally the county town within the dumfries and galloway region of scotland 
malaria	___ is a mosquito borne infectious disease of humans and other animals caused by parasitic protozoans a group of single celled microorganism belonging to the genus plasmodium 
multimedia	___ refers to content that uses a combination of different content forms 
econometrics	___ is the application of mathematics statistical methods and computer science to economic data and is described as the branch of economics that aims to give empirical content to economic relations 
ulverston	___ is a market town and civil parish in the south lakeland district of cumbria in north west england 
autumn	___ interchangeably known as fall in north america is one of the four temperate seasons 
kansas	___ is a us state located in the midwestern united states 
cromarty	 ___ cromba in gaelic is a town civil parish and former royal burgh in ross and ___ in the highland area of scotland 
paracetamol	___ or also known as acetaminophen or apap chemically named n acetylpaminophenol is a widely used over thecounter analgesic pain reliever and antipyretic fever reducer 
spades	___ is a trick taking card game devised in the united states in the 1930s 
bournemouth	 ___ is a large coastal resort town on the south coast of england directly to the east of the jurassic coast a 95 mi world heritage site 
luton	___ is a large town borough and unitary authority area of bedfordshire england 30 mi north of london 
toronto	___ is the most populous city in canada and the provincial capital of ontario 
lycos	___ inc is a search engine and web portal established in 1994 
newquay	___ cornish tewynblustri is a town civil parish seaside resort and fishing port in cornwall england 
spelling	___ according to coulmas 1996 477 is the conventions which determine how the graphemes of a writing system are used to write a language 
poverty	___ is general scarcity or or the state of one who lacks a certain amount of material possessions or money 
dagenham	___ is a large suburb of east london england 
masculinity	___ also called manliness or manhood is a set of attributes behaviors and roles generally associated with boys and men 
digestion	___ is the breakdown of food into smaller components that can be more easily absorbed and assimilated by the body 
obstetrics	___ from the latin obstare to stand by is the health profession or medical specialty that deals with pregnancy childbirth and postpartum period including care of the newborn 
yule	___ or ___ ___ time is a religious festival observed by the historical germanic peoples later undergoing christianised reformulation resulting in the now better known christmastide 
etiquette	___ or is a code of behavior that delineates expectations for social behavior according to contemporary conventional norms within a society social class or group 
harwich	___ is a town in essex england and one of the haven ports located on the coast with the north sea to the east 
excalibur	___ or caliburn is the legendary sword of king arthur sometimes attributed with magical powers or associated with the rightful sovereignty of great britain 
roehampton	___ is a suburban district in south west london forming the western end of the london borough of wandsworth 
wine	___ is an alcoholic beverage made from fermented grapes or other fruits 
starfish	___ or sea stars are star shaped echinoderms belonging to the class asteroidea 
granite	___ is a common type of felsic intrusive igneous rock which is granular and phaneritic in texture 
